DATA_ACTUAL_DATE;DATA_ACTUAL_END_DATE;CURRENCY_RK;REDUCED_COURCE;CODE_ISO_NUM
2016-07-01;2050-12-31;38;31.8884;974
2018-01-31;2018-01-31;427870281;28.3798;933
2018-01-31;2018-01-31;29;7.11613;752
2018-01-31;2018-01-31;529511970;33.0543;944
2018-01-31;2018-01-31;62;8.87555;156
2018-01-31;2018-01-31;205699733;2.74512;203
2018-01-31;2018-01-31;205699734;.224063;348
2018-01-31;2018-01-31;409611215;6.37718;972
2018-01-31;2018-01-31;55;.0524955;410
2018-01-31;2018-01-31;57;.822974;417
2018-01-31;2018-01-31;58;35.542;100
2018-01-31;2018-01-31;59;7.19949;344
2018-01-31;2018-01-31;42;45.499;124
2018-01-31;2018-01-31;43;9.34034;208
2018-01-31;2018-01-31;44;69.5424;978
2018-01-31;2018-01-31;50;.882968;356
2018-01-31;2018-01-31;37;.517551;392
2018-01-31;2018-01-31;39;45.3371;036
2018-01-31;2018-01-31;40;7.27223;578
2018-01-31;2018-01-31;41;2.01041;980
2018-01-31;2018-01-31;30;60.0762;756
2018-01-31;2018-01-31;31;78.8417;826
2018-01-31;2018-01-31;35;56.2914;840
2018-01-31;2018-01-31;36;16.7534;985
2018-01-31;2018-01-31;21;14.8467;949
2018-01-31;2018-01-31;25;17.842;986
2018-01-31;2018-01-31;28;.174425;398
2018-01-31;2018-01-31;529511969;.117274;051
2018-01-30;2018-01-30;427870281;28.4182;933
2018-01-30;2018-01-30;29;7.14142;752
2018-01-30;2018-01-30;529511970;33.0539;944
2018-01-30;2018-01-30;62;8.89692;156
2018-01-30;2018-01-30;205699733;2.7551;203
2018-01-30;2018-01-30;205699734;.225542;348
2018-01-30;2018-01-30;409611215;6.38196;972
2018-01-30;2018-01-30;55;.0526451;410
2018-01-30;2018-01-30;57;.824774;417
2018-01-30;2018-01-30;58;35.6949;100
2018-01-30;2018-01-30;59;7.19932;344
2018-01-30;2018-01-30;42;45.5759;124
2018-01-30;2018-01-30;43;9.37883;208
2018-01-30;2018-01-30;44;69.8513;978
2018-01-30;2018-01-30;50;.885702;356
2018-01-30;2018-01-30;37;.516595;392
2018-01-30;2018-01-30;39;45.5055;036
2018-01-30;2018-01-30;40;7.30869;578
2018-01-30;2018-01-30;41;1.99224;980
2018-01-30;2018-01-30;30;60.0179;756
2018-01-30;2018-01-30;31;79.522;826
2018-01-30;2018-01-30;35;56.2908;840
2018-01-30;2018-01-30;36;16.8339;985
2018-01-30;2018-01-30;21;14.8878;949
2018-01-30;2018-01-30;25;17.8508;986
2018-01-30;2018-01-30;28;.174626;398
2018-01-30;2018-01-30;529511969;.117248;051
2018-01-27;2018-01-29;427870281;28.3395;933
2018-01-27;2018-01-29;29;7.08973;752
2018-01-27;2018-01-29;529511970;32.7826;944
2018-01-27;2018-01-29;62;8.83381;156
2018-01-27;2018-01-29;205699733;2.74383;203
2018-01-27;2018-01-29;205699734;.224745;348
2018-01-27;2018-01-29;409611215;6.3298;972
2018-01-27;2018-01-29;55;.0524722;410
2018-01-27;2018-01-29;57;.817166;417
2018-01-27;2018-01-29;58;35.5733;100
2018-01-27;2018-01-29;59;7.14005;344
2018-01-27;2018-01-29;42;45.3266;124
2018-01-27;2018-01-29;43;9.34655;208
2018-01-27;2018-01-29;44;69.6073;978
2018-01-27;2018-01-29;50;.878502;356
2018-01-27;2018-01-29;37;.512308;392
2018-01-27;2018-01-29;39;45.1488;036
2018-01-27;2018-01-29;40;7.26559;578
2018-01-27;2018-01-29;41;1.95479;980
2018-01-27;2018-01-29;30;59.6844;756
2018-01-27;2018-01-29;31;79.4555;826
2018-01-27;2018-01-29;35;55.8288;840
2018-01-27;2018-01-29;36;16.8012;985
2018-01-27;2018-01-29;21;14.9391;949
2018-01-27;2018-01-29;25;17.7319;986
2018-01-27;2018-01-29;28;.174193;398
2018-01-27;2018-01-29;529511969;.116165;051
2018-01-27;2018-01-29;427870281;28.3395;933
2018-01-27;2018-01-29;29;7.08973;752
2018-01-27;2018-01-29;529511970;32.7826;944
2018-01-27;2018-01-29;62;8.83381;156
2018-01-27;2018-01-29;205699733;2.74383;203
2018-01-27;2018-01-29;205699734;.224745;348
2018-01-27;2018-01-29;409611215;6.3298;972
2018-01-27;2018-01-29;55;.0524722;410
2018-01-27;2018-01-29;57;.817166;417
2018-01-27;2018-01-29;58;35.5733;100
2018-01-27;2018-01-29;59;7.14005;344
2018-01-27;2018-01-29;42;45.3266;124
2018-01-27;2018-01-29;43;9.34655;208
2018-01-27;2018-01-29;44;69.6073;978
2018-01-27;2018-01-29;50;.878502;356
2018-01-27;2018-01-29;37;.512308;392
2018-01-27;2018-01-29;39;45.1488;036
2018-01-27;2018-01-29;40;7.26559;578
2018-01-27;2018-01-29;41;1.95479;980
2018-01-27;2018-01-29;30;59.6844;756
2018-01-27;2018-01-29;31;79.4555;826
2018-01-27;2018-01-29;35;55.8288;840
2018-01-27;2018-01-29;36;16.8012;985
2018-01-27;2018-01-29;21;14.9391;949
2018-01-27;2018-01-29;25;17.7319;986
2018-01-27;2018-01-29;28;.174193;398
2018-01-27;2018-01-29;529511969;.116165;051
